,idx,source_prompt,target_prompt,instructions
531,507958-output2,"A kitchen with painted cabinetry, white appliances, and butterfly accents","A kitchen with painted cabinetry, white appliances, butterfly accents, and flower wall paper",add flower wall paper
532,78689-input,Two computers on a bed with a dog between them.,A panting dog between two computers on a bed.,make the dog pant
533,78689-output1,A panting dog between two computers on a bed.,"Frustrated dog stuck between two computers, one displaying an error message, on a bed.",let the laptop show an error message
534,78689-output2,"Frustrated dog stuck between two computers, one displaying an error message, on a bed.",Frustrated dog stuck between a computer and an error message on a bed.,remove a laptop
535,115146-input,A group of people converse in an office setting.,A group of people converse in an office setting with a drawing of a girl on the wall next to them.,What if there is a drawing of a girl next to the people on the wall?
536,359687-input,A marina filled with boats that have been tied to the ledge.,A man enjoying a boat in a marina filled with tied boats.,let a man sit in a boat
537,359687-output1,A man enjoying a boat in a marina filled with tied boats.,A man and his dog enjoying a boat in a marina filled with tied boats.,add a dog on the wooden dock
538,359687-output2,A man and his dog enjoying a boat in a marina filled with tied boats.,A man and his dog enjoying a boat in a marina filled with tied boats with fireworks in the sky.,add fireworks in the sky
539,436284-input,A rotten piece of  wood sitting on a rock.,A volcanic eruption on a rock.,Turn the wood into a volcano.
540,436284-output1,A volcanic eruption on a rock.,Volcanic eruption with lava flow on a rock.,add a lava flow
541,436284-output2,Volcanic eruption with lava flow on a rock.,Volcanic eruption with lava flow and smoke on a rock.,add smoke
542,455879-input,Three helmets and three baseball bats sitting on a large white block with blood dripping down it.,Three sombreros and three baseball bats sitting on a large white block with blood dripping down it.,change the military hats into sombrero hats
543,455879-output1,Three sombreros and three baseball bats sitting on a large white block with blood dripping down it.,Three sombreros and three baseball bats sitting on a large white block.,remove the blood
544,448409-input,A large living room with a desk in the corner,A large living room with a black leather chair in the corner,Let the chair be made by black leather.
545,204777-input,Older man picking up snacks from a table.,Older man enjoying a sandwich from the snack table.,make the man put a sandwich in his mouth
546,204777-output1,Older man enjoying a sandwich from the snack table.,Elderly veteran enjoying a sandwich from the snack table in military uniform.,let the old man be dressed in a military uniform
547,204777-output2,Elderly veteran enjoying a sandwich from the snack table in military uniform.,Elderly veteran with a curly afro enjoying a sandwich from the snack table in military uniform.,let the man have a curly afro
548,528875-input,"pans filled with assorted veggies, fruit and rice","Pans filled with assorted veggies, fruit, rice, and a tennis ball",Add a tennis ball
549,172406-input,a close up of a horse tethered to a carriage,A close up of a horse tethered to a carriage without blinders,remove the blinders from the horse
550,524311-input,A man holding a Wii remote and laughing.,A man in a tuxedo holding a Wii remote and laughing.,change his outfit into a tuxedo
551,524311-output1,A man in a tuxedo holding a Wii remote and laughing.,A blonde man in a tuxedo holding a Wii remote and laughing.,change his hair to blonde
552,524311-output2,A blonde man in a tuxedo holding a Wii remote and laughing.,A blonde man in a tuxedo holding a carrot and laughing.,change the Wii remote to carrot
553,246787-input,There is a sign that says time no ties please for a pint with ties around it,"Painting of a pint with ties around it, with the words ""time no ties please"" written underneath",let there be a painting instead of a sign
554,246787-output1,"Painting of a pint with ties around it, with the words ""time no ties please"" written underneath","Painting of a pint with ties around it, with the words ""time no ties please"" written underneath, on painted walls",let the walls be painted
555,246787-output2,"Painting of a pint with ties around it, with the words ""time no ties please"" written underneath, on painted walls","Painting of glasses of champagne and a pint with ties around it, with the words ""time no ties please"" written underneath, on painted walls",let there be glasses of champagne on the table
556,229779-input,The man is surfing high up on a wave.,The man is skiing high up on a wave.,let the surfboard change into a ski
557,229779-output1,The man is skiing high up on a wave.,The man is skiing high up on a wave next to a yacht.,let there be a yacht
558,229779-output2,The man is skiing high up on a wave next to a yacht.,The man is skiing high up on a wave next to a yacht with an island in the background.,let there be an island at the border
559,262162-input,A small bedroom with a desk and computer in it.,A person working at a desk with a computer in a small bedroom.,Add person to the chair.
560,442242-input,"A pier is filled with boats, lighthouse and cargo.","A pier is filled with boats, two lighthouses and cargo.",double the amount of lighthouses
561,460929-input,A hot dog with mustard is next to a bottle of soda.,A hot dog with mustard is next to a bottle of beer.,Make the drink a beer.
562,460929-output1,A hot dog with mustard is next to a bottle of beer.,A plain hot dog is next to a bottle of beer.,Remove the mustard.
563,229383-input,A group of people on public transportation stare at their phones.,"A group of people on public transportation, with one woman reading a book while others stare at their phones.",Make one of the women read a book.
564,255010-input,Black and white photo of two men with black hats sitting in a train.,Black and white photo of two men with white hats sitting in a train.,Make the hats white.
565,432216-input,A group of kids in skis in the snow.,A group of kids and a brown bear in skis in the snow.,change one of the people for a brown bear
566,369675-input,A passenger train is sitting at a station.,A mostly white passenger train is sitting at a station.,Paint most of the train white.
567,369675-output1,A mostly white passenger train is sitting at a station.,An empty white train is sitting at a station.,Remove the passengers.
568,369675-output2,An empty white train is sitting at a station.,A small dog sits next to an empty white train at a station.,Add a small dog next to the train.
569,522782-input,A triple screen computer set up on a desk next to a bed,A single screen computer set up on a desk next to a bed,Could we have just one monitor?
570,522782-output1,A single screen computer set up on a desk next to a bed,A single screen computer set up on a desk next to a bed with a picture of a car on the monitor screen.,Put a picture of a car on the monitor screen.
571,547637-input,A baseball glove with a baseball inside and a bat on a table,A baseball glove with an orange inside and a bat on a table,Have an orange instead of a baseball.
572,164224-input,a white bed in a large hotel room,A white bed in a spacious hotel room,remove the chairs
573,164224-output1,A white bed in a spacious hotel room,A white bed in a spacious hotel room with an abstract painting on the wall,let there be an abstract painting on the wall
574,164224-output2,A white bed in a spacious hotel room with an abstract painting on the wall,A white bed with a big teddy bear on the pillows in a spacious hotel room with an abstract painting on the wall,let there be a big teddy bear on the pillows
575,317424-input,This work van has green graffiti sprayed on its side,This work van has a cute panda face painted on its side.,Replace the graffiti with the face of a panda.
576,392850-input,A banana and some fruit on a table.,Fruit and a banana on a table with a clear bowl of rice.,Have there be rice in the clear bowl
577,392850-output1,Fruit and a banana on a table with a clear bowl of rice.,Fruit and a banana on a table with a clear bowl of rice and a measuring cup.,Have there be a measuring cup by the fruit
578,392850-output2,Fruit and a banana on a table with a clear bowl of rice and a measuring cup.,"Fruit and a banana on a table with a clear bowl of rice, a measuring cup, and a stick of butter on the cutting board.",Have there be a stick of butter on the cutting board
579,308793-input,Two skiers heading up the side of a mountain,Two skiers and a fox heading up the side of a mountain,Add a fox running up the mountain
580,91080-input,A white refrigerator freezer sitting next to a stove top oven.,A white refrigerator freezer sitting next to a stove top oven with a pan.,swap the kettle for a pan
581,91080-output1,A white refrigerator freezer sitting next to a stove top oven with a pan.,A white refrigerator freezer sitting next to a stove top oven with a pan and a fruit basket.,add a fruit basket
582,168784-input,Blurred image of a dog wearing a neck tie sitting on a wood table top.,Blurred image of a dog wearing a bow tie sitting on a wood table top.,Make it a bow tie.
583,466965-input,A parrot sitting on a branch looking down.,A parrot with a hat sitting on a branch looking down.,What if the parrot had a hat?
584,484074-input,Three Zebras standing inside an enclosure at a zoo.,Man sitting on a zebra inside an enclosure at a zoo.,Have a man sitting on the zebra.
585,182496-input,Foot long hotdogs on a piece of bread smothered in baked beans and cheese,"Foot long hotdogs topped with ice cream, baked beans, and cheese on a piece of bread",Top the hot dogs with ice cream
586,182496-output1,"Foot long hotdogs topped with ice cream, baked beans, and cheese on a piece of bread","Foot long hotdogs topped with ice cream, baked beans, and cheese on a piece of bread with a cherry on top",add a cherry on top
587,41846-input,pizza on a plate with one slice separated from the rest,Pepperoni pizza on a plate with one slice separated from the rest,Add pepperoni to the toppings
588,524459-input,A man using his laptop at his desk,A man looking at his laptop at his desk,make the man look at his laptop
589,524459-output1,A man looking at his laptop at his desk,A man in a striped shirt looking at his laptop at his desk,let the man wear a striped shirt
590,524459-output2,A man in a striped shirt looking at his laptop at his desk,A man in a striped shirt holding a pencil while looking at his laptop at his desk,make the man hold a pencil
591,237041-input,A snowboard is left vacant in view of large snow capped mountains.,A gorilla snowboards past large snow capped mountains.,Add a gorilla going by
592,237041-output1,A gorilla snowboards past large snow capped mountains.,A gorilla snowboards past large snow capped mountains with lightening bolts in the sky.,Add lightening bolts in the sky.
593,237041-output2,A gorilla snowboards past large snow capped mountains with lightening bolts in the sky.,A gorilla snowboards past large snow capped mountains with a helicopter being struck by lightening in the sky.,Add a helicopter being struck by lightening.
594,50306-input,"The table is holding, pizza, eating utensils and glasses of orange juice.","The table is holding a crystal ball, eating utensils and glasses of orange juice.",remove the pizza a put a crystal ball in it's place
595,50306-output1,"The table is holding a crystal ball, eating utensils and glasses of orange juice.",The table is holding a crystal ball and a chessboard.,put a chessboard in place of the utensils and drinks
596,319494-input,Boats floating on top of a large lake.,A big whale jumps over boats floating on top of a large lake.,Make a big whale jump over the boat.
597,62745-input,A combination Angry Birds birthday and graduation cake.,A combination flower-themed birthday and graduation cake.,Replace the angry birds with flowers.
598,168690-input,A laptop and keyboard are sitting on a white desk in a hotel room.,A laptop with a blank screen and keyboard are sitting on a white desk in a hotel room.,let the computer have a blank screen
599,168690-output1,A laptop with a blank screen and keyboard are sitting on a white desk in a hotel room.,A black keyboard and laptop with a blank screen are sitting on a white desk in a hotel room.,let the keyboard be black
600,168690-output2,A black keyboard and laptop with a blank screen are sitting on a white desk in a hotel room.,"A black keyboard and laptop with a blank screen are sitting on a white desk in a hotel room, with a green pillow on the bed.",let there be a green pillow on bed
601,40471-input,An older picture of a large kitchen with white appliances.,An older picture of a large kitchen with white appliances and a single window.,Turn the two windows into a single window.
602,74964-input,a counter top with a plate of food,A counter top with a plate of roast chicken,let there be a roast chicken on the plate
603,74964-output1,A counter top with a plate of roast chicken,A counter top with a plate of roast chicken and a bowl of berries,let there be a bowl of berries
604,74964-output2,A counter top with a plate of roast chicken and a bowl of berries,"A counter top with a plate of roast chicken, a bowl of berries, and a tub of ice cream",let there be a tub of ice cream
605,421476-input,A sandwich with mushrooms and other toppings on a plate.,A sandwich with Portbella mushrooms and other toppings on a plate.,Let the plate contain some Portbella.
606,140021-input,A pair of scissors and some fabric rest on the table,A blue pair of scissors and some fabric rest on the table,make the scissor blue
607,26221-input,A living room has a couch and  coffee table.,A lion lounging on a couch and coffee table in a living room.,make a lion laying on the couch
608,94751-input,A parking lot is on the side of the ocean.,A parking lot and lighthouse on the side of the ocean.,Add a lighthouse to the image
609,15272-input,A red light is a wonderful contrast to the pink leaves on trees,A green bird perched on a tree with pink leaves contrasts beautifully with a red light,let there be a green bird perched on the tree
610,15272-output1,A green bird perched on a tree with pink leaves contrasts beautifully with a red light,A monkey and a green bird perched on a tree with pink leaves contrasts beautifully with a red light,let a monkey sit on the tree
611,57377-input,A train that is sitting on the tracks.,A train and a black bear at the stream.,Let's add a black bear to the stream.
612,499037-input,A skier that is about to cross the starting line.,A skier about to cross the starting line with a blank banner.,Remove the text on the banner.
613,499037-output1,A skier about to cross the starting line with a blank banner.,A skier wearing a ski mask about to cross the starting line with a blank banner.,Give the man a ski mask.
614,321394-input,an image of a bedroom setting that is in a loft,Blue bed in a loft bedroom setting,Can the bed be blue?
615,321394-output1,Blue bed in a loft bedroom setting,Blue bed in a loft bedroom setting with a red dresser on the left.,Put a red dresser on the left.
616,321394-output2,Blue bed in a loft bedroom setting with a red dresser on the left.,"Spacious loft bedroom with a blue bed, red dresser, and large window.",The window should be larger.
617,1330-input,a young guy walking in a forrest holding an object in his hand,A young guy wearing long pants walking in a forest holding an object in his hand.,Let the guy wear long pants.
618,411530-input,A crowd of people standing on snow covered ground.,Snow covered ground with no people.,Remove all the people.
619,411530-output1,Snow covered ground with no people.,Snow covered ground with a big polar bear and no people.,Add a big polar bear.
620,411530-output2,Snow covered ground with a big polar bear and no people.,"Snow covered ground with a big polar bear and a flock of birds, no people in sight.",Add a bunch of birds.
621,30-input,A flower vase is sitting on a porch stand.,A squirrel admires a flower vase on a porch stand.,Have a squirrel be looking at the vase
622,523599-input,The airplane is flying high in the cloudless sky.,The super hero is flying high in the cloudless sky.,replace the plane with a super hero
623,523599-output1,The super hero is flying high in the cloudless sky.,The super hero and his trusty dog flying high in the cloudless sky.,put a dog next to the hero
624,269038-input,A car driving down a street past a tall building.,A man on a scooter driving down a street past a tall building.,Let the man ride a scooter.
625,410110-input,An umbrella and purses are in a crowded room.,Purses in a crowded room.,remove the umbrella
626,410110-output1,Purses in a crowded room.,Open purse with cellphone among many in a crowded room.,let a purse be open and let there be a cellphone
627,410110-output2,Open purse with cellphone among many in a crowded room.,Woman admiring open purse with cellphone among many in a crowded room.,let a woman look at the purses
628,380097-input,A clean bathroom with a sink and a mirror,A clean white bathroom with a sink and a mirror,Let the counter turn white.
629,189017-input,many different fire hydrants on the curb of a street,Lots of baby ducklings playing around fire hydrants on the curb of a street.,There should be lots of baby ducklings in the street.
630,434222-input,a person is typing in front of a computer,Person enjoying cat pictures on their computer,Have the computer screen be showing cat pictures
631,434222-output1,Person enjoying cat pictures on their computer,Person enjoying cat pictures on their computer while the cat eats a donut,Have the cat be eating a donut
632,434222-output2,Person enjoying cat pictures on their computer while the cat eats a donut,Person enjoying cat pictures on their computer with a glass of water while the cat eats a donut,Add a glass of water next to the screen
633,183672-input,A man flying through the air while riding a skateboard.,A man in an orange shirt flying through the air while riding a skateboard.,Change the man's shirt to orange
634,183672-output1,A man in an orange shirt flying through the air while riding a skateboard.,A man in an orange shirt holding a banana while flying through the air on a skateboard.,Have the man be holding a banana
635,107168-input,A group of giraffes are grouped together outdoors.,A giraffe standing tall outdoors.,make the giraffe stand
636,100547-input,Three white castle hamburgers sitting in a white castle food bag.,Three white castle donuts sitting in a white castle food bag.,turn the cheese burgers into donuts
637,100547-output1,Three white castle donuts sitting in a white castle food bag.,Three white castle donuts on a wooden table.,put the donuts on a wooden table
638,483389-input,Grilled meat with veggies and potatoes on plate,Grilled meat with veggies and mashed potatoes on plate with a fork,put a fork in the mashed potatoes
639,340184-input,a couple of white couches in a room,A couple of white couches in a room with a rabbit,put a rabbit in the room
640,340184-output1,A couple of white couches in a room with a rabbit,A couple of white couches in a room with two rabbits,add another rabbit to the photo
641,318815-input,a blanket and backpack sitting on the beach next to a surfboard,A blanket and backpack sitting on the beach next to a skateboard,let the surfboard turn into a skateboard
642,318815-output1,A blanket and backpack sitting on the beach next to a skateboard,A sandcastle and backpack sitting on the beach next to a skateboard,let the towel be changed into a sandcastle
643,318815-output2,A sandcastle and backpack sitting on the beach next to a skateboard,A kid crouches next to a sandcastle and backpack on the beach next to a skateboard,let a kid crouch next to the castle
644,410152-input,A train that is by some houses in the day.,A person riding a bicycle next to a train by some houses in the day.,put a person riding a bicycle next to the train
645,410152-output1,A person riding a bicycle next to a train by some houses in the day.,A person riding a bicycle next to a street bus by some houses in the day.,replace the subway train with a street bus
646,315219-input,A phone mounted to a wall next to a doorway.,A pendulum phone mounted to a wall next to a doorway.,Replace the cord with a pendulum.
647,147501-input,a two-door refrigerator with daylight coming in through the door beside it,A metallic two-door refrigerator with daylight coming in through the door beside it.,Make the fridge metallic.
648,123336-input,Several chocolate donuts are on a plate in front of a shelf with alcohol on it.,Several strawberry glazed chocolate donuts are on a plate in front of a shelf with alcohol on it.,let the donuts have strawberry glaze on them
649,123336-output1,Several strawberry glazed chocolate donuts are on a plate in front of a shelf with alcohol on it.,Several strawberry glazed chocolate donuts are on a plate in front of a bookshelf.,change the alcohol shelf into a bookshelf
650,123336-output2,Several strawberry glazed chocolate donuts are on a plate in front of a bookshelf.,A smiling man stands nearby as several strawberry glazed chocolate donuts are on a plate in front of a bookshelf.,let a smiling man stand nearby
651,335912-input,A glam rocker hipster reaching out towards an orange frisbee.,A glam rocker hipster reaching out towards an orange frisbee in a green shirt.,change the shirt
652,214028-input,A bedrooom has a bed that has not been made up.,Blue bed in an unmade bedroom.,The bed should be blue.
653,214028-output1,Blue bed in an unmade bedroom.,Blue bed in an unmade bedroom with a television.,Can we have a television?
654,214028-output2,Blue bed in an unmade bedroom with a television.,"Unmade bedroom with a blue bed, television, and a larger window.",Put a larger window on the room.
655,426052-input,a athlete just swung at a ball in a game,Athlete swings at ball while a flying drone captures the game.,Add a flying drone.
656,460460-input,a home bar with assorted alcohol bottles and strings of lights.,"Cozy home bar with assorted alcohol bottles, strings of lights, and a comfy pillow on the couch.",throw a pillow on that couch
657,405249-input,a child blows out the candles on a birthday cake.,A child blows out the candles on a birthday cake with toys on the left.,Eliminate the cake on the right that has toys
658,405249-output1,A child blows out the candles on a birthday cake with toys on the left.,Two birthday cakes with toys on the left as a child blows out the candles.,Add a second chocolate cake
659,405249-output2,Two birthday cakes with toys on the left as a child blows out the candles.,Two birthday cakes with toys on the left and a balloon on the table as a child blows out the candles.,Add a balloon on the table
660,151480-input,A group of baseball players that are walking in the outfield.,Baseball players walking in the outfield with a mascot in the stands.,have a mascot in the stands
661,151480-output1,Baseball players walking in the outfield with a mascot in the stands.,Baseball players lined up in the outfield with a mascot in the stands.,line the player up in a line.
662,231682-input,A man riding on the back of a motorcycle.,A man riding on the back of a bicycle.,change the motorcycle into a bicycle
663,231682-output1,A man riding on the back of a bicycle.,A man riding on the back of a bicycle with the officer looking at the camera.,make the officer look at the camera
664,243361-input,A dining room table is cluttered with computers.,A man sitting at a cluttered dining room table with computers.,let a man sit on a chair at the table
665,243361-output1,A man sitting at a cluttered dining room table with computers.,A man sitting at a cluttered dining room table with a closed laptop and computers.,let the laptop be closed
666,243361-output2,A man sitting at a cluttered dining room table with a closed laptop and computers.,"A man sitting at a cluttered dining room table with a closed laptop and computers, one with a butterfly wallpaper.",let the computer have a butterfly wallpaper
667,95828-input,A computer desk topped with lots of computers.,A book-filled computer desk.,substitute the computers for books
668,95828-output1,A book-filled computer desk.,A book-filled computer desk with a turtle.,place a turtle in the image
669,350132-input,A man playing a game of frisbee with himself.,A man and his dog playing frisbee together.,let a dog leap to catch the frisbee
670,350132-output1,A man and his dog playing frisbee together.,A man and his dog playing frisbee together with mountains in the background.,let there be mountains bordering the field
671,350132-output2,A man and his dog playing frisbee together with mountains in the background.,A man and his dog playing frisbee together on a sprinkler field with mountains in the background.,let the field have water sprinklers
672,147471-input,A man and women rest as there dog stands on the trail.,A bald man and woman rest as their dog stands on the trail.,What if the man was bald?
673,147471-output1,A bald man and woman rest as their dog stands on the trail.,A bald man and blonde woman rest as their dog stands on the trail.,What if the woman was blonde?
674,147471-output2,A bald man and blonde woman rest as their dog stands on the trail.,"A bald man and blonde woman rest as their dog, wearing a hat, stands on the trail.",What if the dog had a hat?
675,519432-input,An open laptop computer sitting on top of a wooden desk.,A closed laptop computer sitting on top of a wooden desk.,Turn off the laptop.
676,519432-output1,A closed laptop computer sitting on top of a wooden desk.,A closed laptop computer sitting on top of a wooden desk with a smiley face on the wall.,Paint a smiley face on the wall.
677,457572-input,A girl lays on a bed next to her glasses looking in the mirror,A girl lays on a bed next to her sunglasses looking in the mirror,change the glasses into sunglasses
678,457572-output1,A girl lays on a bed next to her sunglasses looking in the mirror,"A girl lays on a bed next to her sunglasses and a champagne bottle, looking in the mirror",add a champagne bottle on the bed
679,457572-output2,"A girl lays on a bed next to her sunglasses and a champagne bottle, looking in the mirror","A blonde girl lays on a bed next to her sunglasses and a champagne bottle, looking in the mirror",let the girl have blonde hair
680,23355-input,A man holding pizzas on white plates in a kitchen.,"A man holding pizzas on white plates in a kitchen, with one plate magically turned into roast chicken.",let a plate of pizza be turned into roast chicken
681,23355-output1,"A man holding pizzas on white plates in a kitchen, with one plate magically turned into roast chicken.","A man holding pizzas on white plates in a kitchen, making the waiter laugh while one plate magically turns into roast chicken.",make the waiter laugh
682,23355-output2,"A man holding pizzas on white plates in a kitchen, making the waiter laugh while one plate magically turns into roast chicken.","A group of people enjoying a meal in a kitchen, with a man holding pizzas on white plates and making the waiter laugh while one plate magically turns into roast chicken.",let there be a bunch of people at the dining table
683,419974-input,a man standing next to a kitchen counter preparing food.,Man cutting a pineapple on a kitchen counter.,let the man cut a pineapple
684,419974-output1,Man cutting a pineapple on a kitchen counter.,Man cutting a pineapple on a kitchen counter while the dog howls.,make the dog howl
685,419974-output2,Man cutting a pineapple on a kitchen counter while the dog howls.,Man cutting a pineapple on a kitchen counter surrounded by an assortment of dog food and treats while the dog howls.,let there be an assortment of dog food and treats
686,205069-input,this is a man touching a drag queen,This is a man touching a drag queen wearing a red hat,change the pink hat to a red hat
687,205069-output1,This is a man touching a drag queen wearing a red hat,This is a man touching a drag queen wearing a red skirt,let the woman wear a red skirt
688,205069-output2,This is a man touching a drag queen wearing a red skirt,This is a man touching a blonde drag queen wearing a red skirt,let the woman have blonde hair
689,555012-input,The roll of toilet paper beside the toilet is empty.,The roll of toilet paper beside the empty toilet with the lid lifted.,Lift the lid of the toilet.
690,417804-input,a close up of a keyboard and a mouse on a desk,A close up of a keyboard and a rodent mouse on a desk,Change the mouse to a rodent mouse.
691,294918-input,some people bicycles sunglasses cars and some buildings,"Some people, bicycles, sunglasses, cars, some buildings, and a wild pig.",Add a wild pig.
692,243066-input,Rows of skis standing vertically in snow next to lodge.,Rows of skis and a snowmobile standing vertically in snow next to lodge.,Let's add a snowmobile.
693,373184-input,A giraffe eating leaves of  upper branches of tree  by stretching his neck.,A white giraffe eating leaves of upper branches of tree by stretching his neck.,let the giraffe be white
694,373184-output1,A white giraffe eating leaves of upper branches of tree by stretching his neck.,A white giraffe eating leaves of upper branches of tree with yellow flowers by stretching his neck.,add yellow flowers on the tree
695,373184-output2,A white giraffe eating leaves of upper branches of tree with yellow flowers by stretching his neck.,A white giraffe and a kangaroo eating leaves of upper branches of tree with yellow flowers by stretching their necks.,add a kangaroo
696,180141-input,A family sits at a table together enjoying each other's company,A family sits at a table together enjoying each other's company while the girl holds a microphone.,Let the girl hold a microphone.
697,127028-input,A close up shot of a red apple beside an orange.,A close up shot of a red apple beside a banana.,replace orange with banana
698,127028-output1,A close up shot of a red apple beside a banana.,A close up shot of a red apple beside a banana with a phone.,add a phone next to the apple
699,127028-output2,A close up shot of a red apple beside a banana with a phone.,"A close up shot of a red apple and a banana with a phone, next to a cup of coffee.",add a cup of coffee
700,189472-input,A child's kitchen filled with baby furniture and counters.,A child's kitchen with a stool and baby furniture and counters.,Let the chair turn to a stool.
701,223734-input,a small elephant is standing near a tree,A small white elephant is standing near a tree,let the elephant be white
702,352295-input,A box of Ulundu Vade is shown in a refrigerator.,A box of Ulundu Vade with a picture of a panda in a refrigerator.,Add a picture of a panda to the box
703,391509-input,A person on a bench on a street.,A person on a bench with a parked Ducati superbike on a street.,let there be a ducati superbike parked
704,391509-output1,A person on a bench with a parked Ducati superbike on a street.,A woman in military uniform sits on a bench with a parked Ducati superbike on a street.,let the woman be dressed in a military uniform
705,391509-output2,A woman in military uniform sits on a bench with a parked Ducati superbike on a street.,A woman in military uniform sits on a bench with a parked Ducati superbike at a train station.,let it be a train station
706,523978-input,"A bathroom with a white bath tub, sink and large window.","A bathroom with a white bath tub, sink and small window.",Let the window be small.
707,276124-input,A baby brushing it's teeth with a blue and white tooth brush.,A smiling baby brushing its teeth with a blue and white toothbrush.,make the baby smile
708,276124-output1,A smiling baby brushing its teeth with a blue and white toothbrush.,A smiling baby looking at the camera while brushing its teeth with a blue and white toothbrush.,let the baby look at the camera
709,276124-output2,A smiling baby looking at the camera while brushing its teeth with a blue and white toothbrush.,A curly ginger-haired baby smiling at the camera while brushing its teeth with a blue and white toothbrush.,let the baby have curly ginger hair
710,573448-input,A metal blender sitting next to a red plastic bowl.,Red bowl filled with dessert next to a metal blender.,let the red bowl contain dessert
711,573448-output1,Red bowl filled with dessert next to a metal blender.,Red bowl filled with dessert next to a metal blender containing vegetables.,let the blender contain vegetables
712,573448-output2,Red bowl filled with dessert next to a metal blender containing vegetables.,Red bowl filled with dessert next to a metal blender containing vegetables and a spider.,add a spider next to the blender
713,231822-input,A tray of various foods next to drinks on a table.,A tray of various foods next to cans of beer on a table.,Replace the glasses with cans of beer.
714,231822-output1,A tray of various foods next to cans of beer on a table.,A tray of various soups next to cans of beer on a table.,Replace the fruits with soup.
715,231822-output2,A tray of various soups next to cans of beer on a table.,A tray of various soups and mac and cheese next to cans of beer on a table.,Put more mac and cheese in place of the veggies.
716,167529-input,A bathroom sink sitting under a bathroom mirror.,A mug sitting on a bathroom sink under a bathroom mirror.,can it be a mug on the sink?
717,167529-output1,A mug sitting on a bathroom sink under a bathroom mirror.,A mug and glass bottle sitting on a bathroom sink under a bathroom mirror.,Put a glass bottle on the sink
718,167529-output2,A mug and glass bottle sitting on a bathroom sink under a bathroom mirror.,A mug and glass bottle sitting on a bathroom sink under a smaller bathroom mirror.,Can the mirror be smaller?
719,131388-input,A herd of wild animals walking in the middle or a shallow river.,A group of kids walking in the middle of a shallow river.,change the animals for kids
720,396338-input,A couple of cars on a city street.,Cars drive through a fiery city street.,Add fire to the buildings.
721,499598-input,A group of women and a man sitting around a table together.,A group of women and Superman sitting around a table together.,make the man superman
722,499598-output1,A group of women and Superman sitting around a table together.,A group of reporters and Superman sitting around a table together.,make the people reporters.
723,499598-output2,A group of reporters and Superman sitting around a table together.,A group of reporters and Superman sitting around a news desk together.,change the dinner table into a news desk.
724,429762-input,A couple of elephants standing next to each other.,A couple of elephants standing next to a rock.,We can add a rock next to the elephants.
725,429762-output1,A couple of elephants standing next to a rock.,Elephant digging the ground next to a rock.,Could the elephant be digging the ground?
726,429762-output2,Elephant digging the ground next to a rock.,Elephant digging the ground next to a lake.,They could be next to a lake.
727,304627-input,A surfboard leaning on a wall near some stairs and a door.,A fan leaning on a wall near some stairs and a door.,turn the surfboard into a fan
728,304627-output1,A fan leaning on a wall near some stairs and a door.,A fan leaning on a wall near an exit door.,replace the stairs and door with an exit door
729,458772-input,A busy street with several cars and people crossing the street.,A busy street with several cars and people waiting at a red traffic light.,Make the traffic light show red.
730,458772-output1,A busy street with several cars and people waiting at a red traffic light.,"A busy street with several cars, people, and a large dog waiting at a red traffic light.",Put a large dog in the street.
731,458772-output2,"A busy street with several cars, people, and a large dog waiting at a red traffic light.","A busy street with several cars, people, and a large dog waiting at a red traffic light under an exotic planet-filled sky.",Put an exotic planet in the sky.
732,136699-input,This purse is full of a variety of items.,Gold-labeled purse filled with a variety of items.,Have there be a gold brand label on the purse
733,92187-input,A parking meter with a wooden stick figure on top.,A parking meter with a barbie doll on top.,Replace the wooden figure with a barbie doll.
734,229525-input,A bay shower stall is combined with an untidy counter top in a bathroom.,An open shower stall and untidy counter top in a bathroom.,remove the door
735,229525-output1,An open shower stall and untidy counter top in a bathroom.,An open shower stall and untidy counter top in a bathroom with a laptop.,add a laptop
736,229525-output2,An open shower stall and untidy counter top in a bathroom with a laptop.,"A cat joins the mess in a bathroom with an open shower stall, untidy counter top, and a laptop.",let a cat enter the room
737,137118-input,An empty living room in an apartment with several chairs sitting in the middle of it.,An empty living room in an apartment with several wooden chairs sitting in the middle of it.,Let the stool be made of wood.
738,181947-input,A cup with three pairs of scissors sitting on a table.,"A cup with three pairs of scissors sitting on a table, in a red cup.",replace the lime green to red cup
739,81930-input,A woman has her face down by a fire hydrant,A woman has her face down by a yellow fire hydrant,Change the fire hydrant from red to yellow
740,174423-input,A bird sits perched on the edge of an umbrella.,A yellow bird sits perched on the edge of an umbrella.,Let the bird turn yellow.
741,78085-input,A notebook PC and two monitors on an L-shaped office desk.,A microwave and two monitors on an L-shaped office desk.,change the laptop to a microwave
742,78085-output1,A microwave and two monitors on an L-shaped office desk.,"A coffee cup, microwave, and two monitors on an L-shaped office desk.",add a coffee cup
743,78085-output2,"A coffee cup, microwave, and two monitors on an L-shaped office desk.","A coffee cup, microwave, and two white computer monitors on an L-shaped office desk.",let the computer screens be white
744,540697-input,A large white airplane with blue tail parked.,A large white airplane with blue tail parked on a sunny day.,make it sunny
745,540697-output1,A large white airplane with blue tail parked on a sunny day.,Crew preparing a large white airplane with blue tail for takeoff on a sunny day.,change the scissor lift to a crew
